0.00,9901,9602,298,279,0.97,0.97,0.97
0.05,9901,9604,296,268,0.97,0.97,0.97
0.10,9901,9611,289,253,0.97,0.97,0.97
0.15,9901,9645,255,216,0.97,0.98,0.98
0.20,9901,9639,261,212,0.97,0.98,0.98
0.25,9901,9620,280,211,0.97,0.98,0.98
0.30,9901,9601,299,209,0.97,0.98,0.97
0.35,9901,9580,320,198,0.97,0.98,0.97
0.40,9901,9569,331,165,0.97,0.98,0.97
0.45,9901,9470,430,171,0.96,0.98,0.97
0.50,9901,9367,533,141,0.95,0.99,0.97
0.55,9901,9067,833,117,0.92,0.99,0.95
0.60,9901,8504,1396,129,0.86,0.99,0.92
0.65,9901,7587,2313,83,0.77,0.99,0.86
0.70,9901,6139,3761,73,0.62,0.99,0.76
0.75,9901,4559,5341,35,0.46,0.99,0.63
0.80,9901,2731,7169,14,0.28,0.99,0.43
0.85,9901,1192,8708,9,0.12,0.99,0.21
0.90,9901,195,9705,1,0.02,0.99,0.04
0.95,9901,5,9895,0,0.00,1.00,0.00
1.00,9901,0,9900,0,0.00,nan,nan
