0.00,9901,9799,101,85,0.99,0.99,0.99
0.05,9901,9795,105,83,0.99,0.99,0.99
0.10,9901,9797,103,77,0.99,0.99,0.99
0.15,9901,9768,132,93,0.99,0.99,0.99
0.20,9901,9792,108,68,0.99,0.99,0.99
0.25,9901,9781,119,69,0.99,0.99,0.99
0.30,9901,9791,109,48,0.99,1.00,0.99
0.35,9901,9754,146,54,0.99,0.99,0.99
0.40,9901,9689,211,82,0.98,0.99,0.99
0.45,9901,9605,295,56,0.97,0.99,0.98
0.50,9901,9486,414,45,0.96,1.00,0.98
0.55,9901,9149,751,47,0.92,0.99,0.96
0.60,9901,8602,1298,32,0.87,1.00,0.93
0.65,9901,7632,2268,28,0.77,1.00,0.87
0.70,9901,6160,3740,24,0.62,1.00,0.77
0.75,9901,4562,5338,6,0.46,1.00,0.63
0.80,9901,2728,7172,6,0.28,1.00,0.43
0.85,9901,1190,8710,2,0.12,1.00,0.21
0.90,9901,194,9706,0,0.02,1.00,0.04
0.95,9901,5,9895,0,0.00,1.00,0.00
1.00,9901,0,9900,0,0.00,nan,nan
