0.00,9901,9820,80,64,0.99,0.99,0.99
0.05,9901,9824,76,56,0.99,0.99,0.99
0.10,9901,9826,74,54,0.99,0.99,0.99
0.15,9901,9819,81,58,0.99,0.99,0.99
0.20,9901,9821,79,47,0.99,1.00,0.99
0.25,9901,9812,88,50,0.99,0.99,0.99
0.30,9901,9800,100,45,0.99,1.00,0.99
0.35,9901,9777,123,37,0.99,1.00,0.99
0.40,9901,9736,164,42,0.98,1.00,0.99
0.45,9901,9626,274,46,0.97,1.00,0.98
0.50,9901,9507,393,32,0.96,1.00,0.98
0.55,9901,9170,730,35,0.93,1.00,0.96
0.60,9901,8610,1290,30,0.87,1.00,0.93
0.65,9901,7654,2246,21,0.77,1.00,0.87
0.70,9901,6176,3724,26,0.62,1.00,0.77
0.75,9901,4572,5328,9,0.46,1.00,0.63
0.80,9901,2733,7167,6,0.28,1.00,0.43
0.85,9901,1192,8708,6,0.12,0.99,0.21
0.90,9901,195,9705,1,0.02,0.99,0.04
0.95,9901,5,9895,0,0.00,1.00,0.00
1.00,9901,0,9900,0,0.00,nan,nan
