0.00,9901,9848,52,38,0.99,1.00,1.00
0.05,9901,9849,51,31,0.99,1.00,1.00
0.10,9901,9852,48,25,1.00,1.00,1.00
0.15,9901,9844,56,22,0.99,1.00,1.00
0.20,9901,9846,54,17,0.99,1.00,1.00
0.25,9901,9836,64,19,0.99,1.00,1.00
0.30,9901,9823,77,17,0.99,1.00,1.00
0.35,9901,9787,113,21,0.99,1.00,0.99
0.40,9901,9756,144,19,0.99,1.00,0.99
0.45,9901,9650,250,19,0.97,1.00,0.99
0.50,9901,9527,373,12,0.96,1.00,0.98
0.55,9901,9196,704,9,0.93,1.00,0.96
0.60,9901,8633,1267,6,0.87,1.00,0.93
0.65,9901,7659,2241,11,0.77,1.00,0.87
0.70,9901,6186,3714,9,0.62,1.00,0.77
0.75,9901,4575,5325,3,0.46,1.00,0.63
0.80,9901,2734,7166,2,0.28,1.00,0.43
0.85,9901,1192,8708,1,0.12,1.00,0.21
0.90,9901,195,9705,0,0.02,1.00,0.04
0.95,9901,5,9895,0,0.00,1.00,0.00
1.00,9901,0,9900,0,0.00,nan,nan
